"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_zp_data_16","Біодані 16 (не налаштовано)","Bio data 16 (not configured)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)","Біодані 16 (не налаштовано)",
"str_zp_data_16_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_17","Біодані 17 (не налаштовано)","Bio data 17 (not configured)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)","Біодані 17 (не налаштовано)",
"str_zp_data_17_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_18","Біодані 18 (не налаштовано)","Bio data 18 (not configured)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)","Біодані 18 (не налаштовано)",
"str_zp_data_18_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_19","Біодані 19 (не налаштовано)","Bio data 19 (not configured)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)","Біодані 19 (не налаштовано)",
"str_zp_data_19_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_20","Біодані 20 (не налаштовано)","Bio data 20 (not configured)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)","Біодані 20 (не налаштовано)",
"str_zp_data_20_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_21","Біодані 21 (не налаштовано)","Bio data 21 (not configured)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)","Біодані 21 (не налаштовано)",
"str_zp_data_21_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_22","Біодані 22 (не налаштовано)","Bio data 22 (not configured)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)","Біодані 22 (не налаштовано)",
"str_zp_data_22_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_23","Біодані 23 (не налаштовано)","Bio data 23 (not configured)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)","Біодані 23 (не налаштовано)",
"str_zp_data_23_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_24","Біодані 24 (не налаштовано)","Bio data 24 (not configured)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)","Біодані 24 (не налаштовано)",
"str_zp_data_24_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_25","Біодані 25 (не налаштовано)","Bio data 25 (not configured)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)","Біодані 25 (не налаштовано)",
"str_zp_data_25_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_26","Біодані 26 (не налаштовано)","Bio data 26 (not configured)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)","Біодані 26 (не налаштовано)",
"str_zp_data_26_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_27","Біодані 27 (не налаштовано)","Bio data 27 (not configured)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)","Біодані 27 (не налаштовано)",
"str_zp_data_27_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_28","Біодані 28 (не налаштовано)","Bio data 28 (not configured)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)","Біодані 28 (не налаштовано)",
"str_zp_data_28_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_29","Біодані 29 (не налаштовано)","Bio data 29 (not configured)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)","Біодані 29 (не налаштовано)",
"str_zp_data_29_desc","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of biological data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія біологічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
